,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
1156,146,6,2020,5635,James WashingtonWR15260860,WR,pit,h,cle,16.8,4200,James WashingtonWR15260860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,3.25,0.68275,29.25,0.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10001,PIT,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,1.0,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,13.75,3.5,3.25,3.0,1.5,1.5,0.25,0.25,0.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.75,10027,CLE,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,1.0,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,11.8,3.6,3.0,2.8,1.4,1.4,0.6,0.6,0.0,14.8,0.2,0.0,0.0,0.0,0.0,0.2,29.8,30.8
1157,208,6,2020,5553,JuJu Smith-SchusterWR15260860,WR,pit,h,cle,2.6,6600,JuJu Smith-SchusterWR15260860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.25,0.8687499999999999,47.0,0.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,10001,PIT,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,1.0,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,13.75,3.5,3.25,3.0,1.5,1.5,0.25,0.25,0.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.75,10027,CLE,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,1.0,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,11.8,3.6,3.0,2.8,1.4,1.4,0.6,0.6,0.0,14.8,0.2,0.0,0.0,0.0,0.0,0.2,29.8,30.8
1158,305,6,2020,4601,Eric EbronTE15260860,TE,pit,h,cle,2.9,4100,Eric EbronTE15260860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,0.6617500000000001,39.0,0.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,10001,PIT,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,1.0,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,13.75,3.5,3.25,3.0,1.5,1.5,0.25,0.25,0.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.75,10027,CLE,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,1.0,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,11.8,3.6,3.0,2.8,1.4,1.4,0.6,0.6,0.0,14.8,0.2,0.0,0.0,0.0,0.0,0.2,29.8,30.8
1159,350,6,2020,4572,Vance McDonaldTE15260860,TE,pit,h,cle,0,2700,Vance McDonaldTE15260860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0.75,11.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10001,PIT,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,1.0,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,13.75,3.5,3.25,3.0,1.5,1.5,0.25,0.25,0.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.75,10027,CLE,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,1.0,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,11.8,3.6,3.0,2.8,1.4,1.4,0.6,0.6,0.0,14.8,0.2,0.0,0.0,0.0,0.0,0.2,29.8,30.8
1160,24,6,2020,1528,Baker MayfieldQB15260885,QB,cle,a,pit,7.26,5700,Baker MayfieldQB15260885,18.6,30.4,62.620000000000005,195.2,1.8,0.8,1.4,-8.0,6.660000000000001,11.6,93.11999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.4,2.934,0.0,0.4,-8.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1161,64,6,2020,5560,Kareem HuntRB15260885,RB,cle,a,pit,7.7,6900,Kareem HuntRB15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.2,0.6168,12.6,0.6,1.0,14.0,69.4,5.414,0.6,4.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1162,105,6,2020,5746,D'Ernest JohnsonRB15260885,RB,cle,a,pit,0.1,4000,D'Ernest JohnsonRB15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.0,7.333333333333333,44.0,5.4366666666666665,0.0,2.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1163,175,6,2020,5475,Rashard HigginsWR15260885,WR,cle,a,pit,8.3,3000,Rashard HigginsWR15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,20.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1164,178,6,2020,5335,Jarvis LandryWR15260885,WR,cle,a,pit,7,4900,Jarvis LandryWR15260885,0.2,0.2,20.0,7.4,0.2,0.0,0.0,0.0,7.4,0.2,31.660000000000004,5.6,4.2,0.8220000000000001,55.8,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1165,195,6,2020,5323,Odell Beckham Jr.WR15260885,WR,cle,a,pit,4.5,6400,Odell Beckham Jr.WR15260885,0.2,0.2,20.0,3.6,0.0,0.0,0.0,0.0,3.6,0.2,23.759999999999998,7.8,4.2,0.5630000000000001,58.8,0.6,3.0,0.6,14.4,7.1,0.2,0.4,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1166,284,6,2020,4677,Austin HooperTE15260885,TE,cle,a,pit,10.2,3900,Austin HooperTE15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.4,0.6928,30.6,0.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1167,307,6,2020,4780,Harrison BryantTE15260885,TE,cle,a,pit,2.1,2500,Harrison BryantTE15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.4,0.5,11.8,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1168,310,6,2020,4702,David NjokuTE15260885,TE,cle,a,pit,1.7,3600,David NjokuTE15260885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10027,CLE,81.2,7.519999999999999,4.779999999999999,0.2774,0.015,3.6,1.4,22.6,0.8,0.4,1.4,32.2,34.2,1.6,3.2,1.0,81.2,7.5,4.76,0.28620000000000007,0.0308,3.6,1.4,23.6,1.2,1.2,2.4,45.4,22.4,1.4,2.4,9.8,3.8,3.6,3.4,1.6,1.4,0.2,0.2,0.2,6.4,0.0,0.0,0.2,0.0,0.0,0.2,30.8,29.8,10001,PIT,74.25,8.5,4.075,0.22325,0.02625,2.75,0.75,16.5,1.5,0.5,5.0,40.75,19.0,1.25,4.5,1.0,81.25,7.725,4.65,0.25525,0.0095,3.5,1.5,20.75,0.25,0.5,1.5,37.25,30.5,1.5,3.75,17.75,2.75,2.0,2.0,1.25,0.75,0.75,0.5,0.0,15.75,0.0,0.0,0.0,0.0,0.0,0.0,21.75,29.0
1169,26,6,2020,1252,Aaron RodgersQB15260875,QB,gnb,a,tam,5.8,7500,Aaron RodgersQB15260875,24.5,34.75,70.02499999999999,303.5,3.25,0.0,0.75,-8.75,8.75,15.25,126.875,0.25,0.25,0.25,-1.5,0.0,0.0,1.5,7.75,4.75,0.0,0.5,-8.75,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
1170,32,6,2020,1544,Tim BoyleQB15260875,QB,gnb,a,tam,0,4100,Tim BoyleQB15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-1.3333333333333333,-0.8333333333333334,0.0,0.0,0.0,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
1171,50,6,2020,5543,Aaron JonesRB15260875,RB,gnb,a,tam,13.1,7600,Aaron JonesRB15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,3.75,0.66675,33.75,0.5,1.75,16.25,93.5,5.625,1.0,4.25,0.0,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
1172,85,6,2020,5541,Jamaal WilliamsRB15260875,RB,gnb,a,tam,3.4,4000,Jamaal WilliamsRB15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.25,0.75,29.75,0.0,1.25,7.25,27.0,3.6149999999999998,0.0,1.75,0.0,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
1173,86,6,2020,5825,AJ DillonRB15260875,RB,gnb,a,tam,3.1,4000,AJ DillonRB15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,11.333333333333334,4.466666666666667,0.0,0.3333333333333333,0.0,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
1174,157,6,2020,5263,Davante AdamsWR15260875,WR,gnb,a,tam,12.1,8000,Davante AdamsWR15260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.5,0.9119999999999999,96.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10016,GNB,78.75,7.325,5.6499999999999995,0.29475,0.0,4.25,2.0,23.25,0.0,0.0,0.75,35.5,29.75,2.0,1.75,1.0,73.5,7.074999999999999,4.875,0.285,0.010499999999999999,3.0,1.25,20.75,0.5,0.25,3.0,36.25,22.0,1.5,3.25,5.25,4.5,4.25,4.0,2.0,2.0,0.25,0.25,0.25,12.25,0.0,0.0,0.25,0.0,0.0,0.25,37.5,25.25,10026,TAM,75.6,7.860000000000001,3.96,0.205,0.024,2.2,1.4,15.6,1.2,0.6,3.4,39.2,21.6,1.6,4.6,1.0,79.4,8.24,4.58,0.2352,0.018,3.2,1.8,18.8,0.8,0.6,1.6,40.8,24.0,2.2,4.0,17.8,2.6,2.6,2.6,1.6,1.4,0.0,0.0,0.0,12.6,0.0,0.0,0.4,0.0,0.0,0.4,22.4,27.4
